Date,Price,Open,High,Low,Vol.,Change %,Sector,value
2022-07-26,10.13,10.32,10.32,10.13,0.16K,-1.94,bank,BH
2022-07-22,10.33,10.33,10.33,10.33,0.17K,0.0,bank,BH
2022-07-21,10.33,10.11,10.33,10.11,0.94K,0.0,bank,BH
2022-07-20,10.33,10.4,10.47,10.33,2.15K,0.29,bank,BH
2022-07-19,10.3,10.39,10.39,10.3,0.11K,-0.87,bank,BH
2022-07-18,10.39,10.3,10.39,10.3,1.08K,0.87,bank,BH
2022-07-15,10.3,10.3,10.3,10.3,1.08K,1.98,bank,BH
2022-07-14,10.1,10.2,10.3,10.05,2.39K,1.0,bank,BH
2022-07-13,10.0,10.1,10.2,10.0,1.31K,-0.99,bank,BH
2022-07-12,10.1,10.1,10.2,10.0,1.45K,0.0,bank,BH
2022-07-11,10.1,10.1,10.1,10.1,0.94K,0.9,bank,BH
2022-07-08,10.01,10.0,10.1,10.0,6.25K,-1.38,bank,BH
2022-07-07,10.15,10.24,10.24,10.05,5.73K,-1.55,bank,BH
2022-07-06,10.31,10.47,10.47,10.31,3.24K,-1.53,bank,BH
2022-07-05,10.47,10.48,10.48,10.3,1.65K,-0.1,bank,BH
2022-07-04,10.48,10.5,10.5,10.48,0.15K,0.38,bank,BH
2022-07-01,10.44,10.4,10.45,10.39,6.04K,0.87,bank,BH
2022-06-30,10.35,10.18,10.45,10.18,11.12K,-5.91,bank,BH
2022-06-29,11.0,11.01,11.29,11.0,71.16K,-2.31,bank,BH
2022-06-28,11.26,11.33,11.33,11.0,1.11K,0.0,bank,BH
2022-06-27,11.26,11.33,11.33,11.19,0.90K,0.36,bank,BH
2022-06-24,11.22,11.0,11.22,10.9,42.32K,2.0,bank,BH
2022-06-23,11.0,10.97,11.0,10.97,8.00K,0.0,bank,BH
2022-06-22,11.0,10.98,11.0,10.8,3.81K,0.0,bank,BH
2022-06-21,11.0,10.95,11.0,10.95,1.36K,0.46,bank,BH
2022-06-20,10.95,10.98,11.09,10.52,2.29K,-0.45,bank,BH
2022-06-17,11.0,10.99,11.0,10.99,0.50K,0.0,bank,BH
2022-06-16,11.0,11.0,11.0,10.99,0.26K,0.0,bank,BH
2022-06-15,11.0,10.99,11.1,10.98,6.98K,0.18,bank,BH
2022-06-14,10.98,10.9,11.29,10.9,4.03K,1.67,bank,BH
2022-06-13,10.8,10.79,10.8,10.6,0.73K,0.0,bank,BH
2022-06-10,10.8,10.79,10.8,10.77,1.60K,0.0,bank,BH
2022-06-09,10.8,10.79,10.8,10.75,4.71K,1.89,bank,BH
2022-06-08,10.6,10.46,10.6,10.3,4.52K,1.34,bank,BH
2022-06-07,10.46,10.3,10.46,10.2,3.21K,2.55,bank,BH
2022-06-06,10.2,10.28,10.45,10.18,19.68K,-0.78,bank,BH
2022-06-03,10.28,10.38,10.38,10.28,0.28K,0.78,bank,BH
2022-06-02,10.2,10.2,10.2,10.19,0.87K,0.0,bank,BH
2022-06-01,10.2,10.22,10.22,10.2,0.68K,-1.92,bank,BH
2022-05-31,10.4,10.1,10.5,10.0,2.56K,4.0,bank,BH
2022-05-30,10.0,10.0,10.0,9.8,1.07K,0.0,bank,BH
2022-05-27,10.0,10.0,10.0,10.0,0.37K,0.0,bank,BH
2022-05-26,10.0,10.0,10.0,9.84,0.29K,1.63,bank,BH
2022-05-25,9.84,9.78,9.84,9.77,6.97K,1.13,bank,BH
2022-05-24,9.73,9.48,9.73,9.48,10.39K,2.42,bank,BH
2022-05-23,9.5,9.5,9.55,9.5,2.78K,0.0,bank,BH
2022-05-19,9.5,9.6,9.84,9.5,28.31K,-2.56,bank,BH
2022-05-18,9.75,9.6,9.75,9.6,2.05K,2.63,bank,BH
2022-05-17,9.5,9.3,9.5,9.3,25.65K,0.53,bank,BH
2022-05-16,9.45,9.45,9.45,9.45,0.01K,-1.56,bank,BH
2022-05-13,9.6,9.64,9.64,9.59,0.09K,1.05,bank,BH
2022-05-12,9.5,9.5,9.52,9.5,0.82K,0.74,bank,BH
2022-05-10,9.43,9.37,9.5,9.37,0.22K,0.86,bank,BH
2022-05-09,9.35,9.03,9.35,9.03,19.58K,1.41,bank,BH
2022-05-06,9.22,9.22,9.22,9.04,14.34K,-0.11,bank,BH
2022-05-05,9.23,9.21,9.23,9.21,4.00K,0.0,bank,BH
2022-05-04,9.23,9.23,9.23,9.23,4.35K,0.0,bank,BH
